####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-11 13:21:02
## Sample: 1822
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AATBC,pass,133,32,4.16,30,4.43,6.72
AATF,pass,8207,1841,4.46,1685,4.87,8.19
AATK,pass,1007,203,4.96,193,5.22,9.14
AB015752.1,low_depth,2,2,1.0,2,1.0,0.0
ABALON,pass,254,61,4.16,56,4.54,8.92
ABAT,pass,411,106,3.88,100,4.11,7.35
ABCA1,pass,153114,26808,5.71,24206,6.33,9.47
ABCA10,pass,308,78,3.95,74,4.16,7.69
ABCA11P,pass,40,7,5.71,6,6.67,9.5
ABCA12,pass,1015,238,4.26,218,4.66,6.86
ABCA13,pass,316,103,3.07,102,3.1,6.35
ABCA17P,pass,35,19,1.84,19,1.84,9.0
ABCA2,low_depth,1414,1211,1.17,1210,1.17,3.55
ABCA3,pass,113,63,1.79,63,1.79,4.57
ABCA4,pass,36,26,1.38,26,1.38,4.33
ABCA5,pass,744,199,3.74,190,3.92,7.22
ABCA6,pass,588,194,3.03,186,3.16,6.15
ABCA7,pass,677,207,3.27,188,3.6,7.89
ABCA8,pass,286,102,2.8,98,2.92,6.22
ABCA9,pass,283,106,2.67,103,2.75,5.39
ABCA9-AS1,low_depth,32,31,1.03,31,1.03,2.0
ABCB1,pass,5310,1240,4.28,1173,4.53,6.07
ABCB10,pass,252,61,4.13,57,4.42,6.74
ABCB11,pass,79,32,2.47,32,2.47,6.88
ABCB4,pass,129,60,2.15,58,2.22,5.44
ABCB5,low_depth,26,16,1.62,15,1.73,3.75
ABCB6,low_depth,66,45,1.47,45,1.47,2.91
ABCB7,pass,1981,404,4.9,371,5.34,8.7
ABCB8,pass,879,234,3.76,218,4.03,7.68
ABCB9,pass,535,156,3.43,147,3.64,7.93
ABCC1,pass,3441,818,4.21,772,4.46,7.48
ABCC10,pass,1149,303,3.79,286,4.02,6.95
ABCC11,pass,146,41,3.56,41,3.56,6.83
ABCC12,pass,381,132,2.89,125,3.05,5.13
ABCC13,low_depth,60,51,1.18,51,1.18,2.5
ABCC2,pass,262,110,2.38,106,2.47,6.03
ABCC3,pass,3224,717,4.5,675,4.78,8.37
ABCC4,pass,539,129,4.18,122,4.42,7.04
ABCC5,pass,18408,3827,4.81,3527,5.22,8.08
ABCC6,pass,575,126,4.56,113,5.09,9.56
ABCC6P1,low_depth,1,1,1.0,1,1.0,0.0
ABCC6P2,low_depth,2,2,1.0,2,1.0,0.0
ABCC8,pass,115,74,1.55,72,1.6,6.38
ABCC9,pass,416,104,4.0,99,4.2,7.34
ABCD1,pass,1419,487,2.91,474,2.99,7.65
ABCD1P2,low_depth,57,56,1.02,56,1.02,2.0
ABCD1P3,low_depth,2,2,1.0,2,1.0,0.0
ABCD1P4,low_depth,3,1,3.0,1,3.0,3.0
ABCD1P5,low_depth,3,2,1.5,2,1.5,2.0
ABCD2,pass,371,108,3.44,106,3.5,5.82
ABCD3,pass,2138,531,4.03,494,4.33,6.96
ABCD4,pass,1690,338,5.0,312,5.42,9.72
ABCE1,pass,7773,1437,5.41,1292,6.02,8.6
ABCF1,pass,11168,2359,4.73,2131,5.24,7.84
ABCF2,pass,2939,644,4.56,603,4.87,8.42
ABCF2P1,low_depth,68,50,1.36,50,1.36,3.0
ABCF2P2,low_depth,2,2,1.0,2,1.0,0.0
ABCF3,pass,3585,768,4.67,716,5.01,7.78
ABCG1,pass,974,237,4.11,226,4.31,8.26
ABCG2,pass,1694,394,4.3,360,4.71,7.09
ABCG4,pass,119,48,2.48,47,2.53,7.55
ABCG5,low_depth,12,12,1.0,12,1.0,0.0
ABCG8,pass,82,45,1.82,44,1.86,7.33
ABHD1,pass,603,197,3.06,186,3.24,5.74
ABHD10,pass,798,209,3.82,198,4.03,7.52
ABHD11,pass,1393,302,4.61,274,5.08,8.17
ABHD11-AS1,pass,25,12,2.08,12,2.08,4.25
ABHD12,pass,3024,866,3.49,826,3.66,6.85
ABHD12B,pass,74,34,2.18,34,2.18,9.0
ABHD13,pass,949,192,4.94,179,5.3,8.94
ABHD14A,pass,1247,202,6.17,180,6.93,11.26
ABHD14B,pass,916,233,3.93,214,4.28,7.56
ABHD15,pass,940,236,3.98,220,4.27,7.79
ABHD15-AS1,low_depth,3,3,1.0,3,1.0,0.0
ABHD16A,low_depth,4,3,1.33,3,1.33,2.0
ABHD16B,low_depth,2,2,1.0,2,1.0,0.0
ABHD17A,pass,1459,427,3.42,400,3.65,5.79
ABHD17AP1,pass,21,8,2.62,7,3.0,8.0
ABHD17AP3,low_depth,207,89,2.33,87,2.38,3.73
ABHD17AP4,low_depth,2,2,1.0,2,1.0,0.0
ABHD17AP5,pass,18,5,3.6,5,3.6,7.5
ABHD17AP6,low_depth,94,59,1.59,59,1.59,2.59
ABHD17AP7,low_depth,7,7,1.0,7,1.0,0.0
ABHD17AP8,low_depth,2,2,1.0,2,1.0,0.0
ABHD17B,pass,3258,808,4.03,758,4.3,7.56
ABHD17C,pass,7786,1992,3.91,1853,4.2,7.12
ABHD18,pass,6373,1031,6.18,920,6.93,9.78
ABHD2,pass,16520,2788,5.93,2524,6.55,10.09
ABHD3,pass,2263,428,5.29,385,5.88,8.54
ABHD4,pass,8357,1867,4.48,1723,4.85,7.78
ABHD5,pass,5687,1314,4.33,1205,4.72,7.58
ABHD6,pass,2309,435,5.31,398,5.8,9.31
ABHD8,pass,1316,251,5.24,227,5.8,9.64
ABI1,pass,32872,7386,4.45,6810,4.83,7.05
ABI1P1,pass,83,34,2.44,34,2.44,4.5
ABI2,pass,1655,473,3.5,448,3.69,6.98
ABI3,pass,3990,1029,3.88,968,4.12,5.76
ABI3BP,pass,14095,3480,4.05,3216,4.38,5.81
ABL1,pass,5077,1170,4.34,1082,4.69,7.91
ABL2,pass,5751,1288,4.47,1192,4.82,8.07
ABLIM1,pass,3982,1002,3.97,931,4.28,7.32
ABLIM2,pass,701,146,4.8,129,5.43,8.33
ABLIM3,pass,992,244,4.07,227,4.37,8.89
ABO,low_depth,21,17,1.24,17,1.24,3.0
ABR,pass,4625,1182,3.91,1109,4.17,7.01
ABRA,pass,12,6,2.0,6,2.0,7.0
ABRACL,pass,13885,3755,3.7,3541,3.92,5.26
ABRAXAS1,pass,1238,496,2.5,477,2.6,4.4
ABRAXAS2,pass,5045,978,5.16,887,5.69,8.32
ABT1,pass,1621,362,4.48,338,4.8,7.72
ABT1P1,low_depth,28,13,2.15,13,2.15,3.5
ABTB1,pass,1012,281,3.6,269,3.76,6.46
ABTB2,pass,2524,499,5.06,455,5.55,8.47
AC000032.1,low_depth,9,8,1.12,8,1.12,2.0
AC000036.1,low_depth,19,18,1.06,18,1.06,2.0
AC000058.1,low_depth,6,6,1.0,6,1.0,0.0
AC000067.1,pass,13,2,6.5,1,13.0,13.0
AC000068.1,pass,30,3,10.0,2,15.0,29.0
AC000068.3,low_depth,2,2,1.0,2,1.0,0.0
AC000077.1,pass,352,121,2.91,118,2.98,4.16
AC000078.1,low_depth,7,7,1.0,7,1.0,0.0
AC000081.1,pass,140,92,1.52,91,1.54,4.27
AC000089.1,pass,89,66,1.35,66,1.35,5.6
AC000095.1,pass,11,3,3.67,3,3.67,5.0
AC000099.1,pass,13,4,3.25,4,3.25,5.5
AC000111.2,low_depth,1,1,1.0,1,1.0,0.0
AC000120.1,low_depth,18,17,1.06,17,1.06,2.0
AC000123.2,pass,33,10,3.3,8,4.12,6.0
AC000123.3,low_depth,94,83,1.13,83,1.13,3.2
AC000124.1,low_depth,1,1,1.0,1,1.0,0.0
AC000362.1,pass,122,58,2.1,58,2.1,9.0
AC000367.1,pass,14,5,2.8,5,2.8,10.0
AC000372.1,low_depth,1,1,1.0,1,1.0,0.0
AC000403.1,pass,16,10,1.6,10,1.6,7.0
AC001226.1,low_depth,1,1,1.0,1,1.0,0.0
AC001226.2,low_depth,4,4,1.0,4,1.0,0.0
AC002044.1,low_depth,474,282,1.68,279,1.7,2.95
AC002044.2,pass,22,8,2.75,7,3.14,8.5
AC002056.1,pass,103,43,2.4,40,2.58,4.94
AC002059.1,pass,26,7,3.71,6,4.33,7.67
AC002059.2,low_depth,2,2,1.0,2,1.0,0.0
AC002064.1,low_depth,1,1,1.0,1,1.0,0.0
AC002064.2,low_depth,1,1,1.0,1,1.0,0.0
AC002066.1,pass,97,27,3.59,26,3.73,6.46
