####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-01-28 23:08:22
## Sample: 7272
## Reference: index_star_CHR_mouse.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
A730063M14Rik,pass,127,12,10.58,10,12.7,30.25
A730071L15Rik,low_depth,1,1,1.0,1,1.0,0.0
A730081D07Rik,pass,35,3,11.67,2,17.5,34.0
A730090N16Rik,low_depth,3,1,3.0,1,3.0,3.0
A830005F24Rik,low_depth,1,1,1.0,1,1.0,0.0
A830008E24Rik,low_depth,5,4,1.25,4,1.25,2.0
A830009L08Rik,low_depth,1,1,1.0,1,1.0,0.0
A830018L16Rik,low_depth,3,2,1.5,2,1.5,2.0
A830019L24Rik,low_depth,1,1,1.0,1,1.0,0.0
A830031A19Rik,low_depth,1,1,1.0,1,1.0,0.0
A830035O19Rik,low_depth,1,1,1.0,1,1.0,0.0
A830082K12Rik,pass,44,6,7.33,6,7.33,10.5
A830082N09Rik,low_depth,5,5,1.0,5,1.0,0.0
A930001M01Rik,low_depth,3,3,1.0,3,1.0,0.0
A930002H02Rik,low_depth,14,13,1.08,13,1.08,2.0
A930003O13Rik,low_depth,1,1,1.0,1,1.0,0.0
A930004D18Rik,pass,22,3,7.33,3,7.33,10.5
A930004J17Rik,pass,19,4,4.75,3,6.33,9.0
A930005H10Rik,pass,49,6,8.17,5,9.8,15.67
A930006K02Rik,pass,65,4,16.25,2,32.5,32.5
A930007I19Rik,pass,73,9,8.11,7,10.43,12.0
A930012L18Rik,pass,12,1,12.0,1,12.0,12.0
A930012O16Rik,low_depth,3,1,3.0,1,3.0,3.0
A930014D07Rik,pass,15,1,15.0,1,15.0,15.0
A930015D03Rik,pass,111,11,10.09,8,13.88,18.17
A930015P04Rik,low_depth,3,1,3.0,1,3.0,3.0
A930017K11Rik,pass,17,3,5.67,2,8.5,16.0
A930018P22Rik,pass,39,1,39.0,1,39.0,39.0
A930024E05Rik,pass,6,1,6.0,1,6.0,6.0
A930024N18Rik,pass,29,2,14.5,2,14.5,14.5
A930029G22Rik,pass,53,3,17.67,3,17.67,17.67
A930031H19Rik,low_depth,1,1,1.0,1,1.0,0.0
A930032L01Rik,low_depth,1,1,1.0,1,1.0,0.0
A930033H14Rik,pass,12,4,3.0,4,3.0,9.0
A930037H05Rik,pass,37,3,12.33,3,12.33,35.0
A930038B10Rik,low_depth,1,1,1.0,1,1.0,0.0
AA386476,pass,17,4,4.25,4,4.25,14.0
AA413626,low_depth,2,2,1.0,2,1.0,0.0
AA414992,low_depth,1,1,1.0,1,1.0,0.0
AA465934,pass,74,10,7.4,7,10.57,17.75
AA467197,pass,920,107,8.6,92,10.0,14.8
AA474408,low_depth,1,1,1.0,1,1.0,0.0
AA543186,low_depth,1,1,1.0,1,1.0,0.0
AA543401,low_depth,1,1,1.0,1,1.0,0.0
AB041806,low_depth,1,1,1.0,1,1.0,0.0
AB124611,pass,3083,255,12.09,195,15.81,20.92
AC034116.3,low_depth,1,1,1.0,1,1.0,0.0
AC034116.4,low_depth,1,1,1.0,1,1.0,0.0
AC061963.1,pass,25,2,12.5,2,12.5,24.0
AC083895.1,low_depth,2,2,1.0,2,1.0,0.0
AC087802.1,low_depth,10,6,1.67,6,1.67,3.0
AC087898.2,pass,69,14,4.93,9,7.67,9.57
AC087898.4,pass,146,18,8.11,14,10.43,17.5
AC091332.1,low_depth,6,5,1.2,5,1.2,2.0
AC098880.1,low_depth,1,1,1.0,1,1.0,0.0
AC098880.2,pass,114,6,19.0,6,19.0,22.6
AC098883.3,low_depth,1,1,1.0,1,1.0,0.0
AC102745.1,pass,103,32,3.22,29,3.55,5.35
AC102745.2,low_depth,1,1,1.0,1,1.0,0.0
AC102902.1,low_depth,5,5,1.0,5,1.0,0.0
AC104866.1,low_depth,2,2,1.0,2,1.0,0.0
AC105297.1,pass,42,4,10.5,4,10.5,20.0
AC105304.4,low_depth,1,1,1.0,1,1.0,0.0
AC107711.1,low_depth,12,4,3.0,4,3.0,3.67
AC107765.2,low_depth,1,1,1.0,1,1.0,0.0
AC107792.1,low_depth,1,1,1.0,1,1.0,0.0
