"Cell_Index","UMIs_human","UMIs_mouse","Labels"
"1820_Cell_Index116095",1116,3175,"mainly_mouse"
"1820_Cell_Index11613",567,1888,"mainly_mouse"
"1820_Cell_Index116140",911,2984,"mainly_mouse"
"1820_Cell_Index116270",4463,12662,"mainly_mouse"
"1820_Cell_Index116490",1379,0,"unique_human"
"1820_Cell_Index116560",963,3126,"mainly_mouse"
"1820_Cell_Index116618",0,1204,"unique_mouse"
"1820_Cell_Index116728",1562,4849,"mainly_mouse"
"1820_Cell_Index116857",1024,2817,"mainly_mouse"
"1820_Cell_Index116858",536,1438,"mainly_mouse"
"1820_Cell_Index117005",781,2415,"mainly_mouse"
"1820_Cell_Index117019",779,2603,"mainly_mouse"
"1820_Cell_Index117102",816,2634,"mainly_mouse"
"1820_Cell_Index117144",1191,3018,"mainly_mouse"
"1820_Cell_Index117150",859,2521,"mainly_mouse"
"1820_Cell_Index117184",808,2300,"mainly_mouse"
"1820_Cell_Index117406",0,1234,"unique_mouse"
"1820_Cell_Index117448",1010,2600,"mainly_mouse"
"1820_Cell_Index117461",1066,3033,"mainly_mouse"
"1820_Cell_Index117608",833,2558,"mainly_mouse"
"1820_Cell_Index117620",709,2342,"mainly_mouse"
"1820_Cell_Index117635",7328,17813,"mainly_mouse"
"1820_Cell_Index117680",709,2384,"mainly_mouse"
"1820_Cell_Index117718",745,2349,"mainly_mouse"
"1820_Cell_Index117722",0,719,"unique_mouse"
"1820_Cell_Index117775",2008,5312,"mainly_mouse"
"1820_Cell_Index117776",6178,14565,"mainly_mouse"
"1820_Cell_Index117778",571,1830,"mainly_mouse"
"1820_Cell_Index117841",871,2846,"mainly_mouse"
"1820_Cell_Index117916",601,1843,"mainly_mouse"
"1820_Cell_Index11800",1200,3353,"mainly_mouse"
"1820_Cell_Index118081",9552,23709,"mainly_mouse"
"1820_Cell_Index118095",1016,2956,"mainly_mouse"
"1820_Cell_Index11812",713,2008,"mainly_mouse"
"1820_Cell_Index118128",877,2310,"mainly_mouse"
"1820_Cell_Index118186",597,1874,"mainly_mouse"
"1820_Cell_Index11821",19167,43891,"mainly_mouse"
"1820_Cell_Index118384",831,2477,"mainly_mouse"
"1820_Cell_Index118404",844,2464,"mainly_mouse"
"1820_Cell_Index118412",577,1617,"mainly_mouse"
"1820_Cell_Index118504",660,2084,"mainly_mouse"
"1820_Cell_Index118661",1093,3309,"mainly_mouse"
"1820_Cell_Index118821",8298,20274,"mainly_mouse"
"1820_Cell_Index118829",7101,16896,"mainly_mouse"
"1820_Cell_Index118886",708,1999,"mainly_mouse"
"1820_Cell_Index118936",629,1819,"mainly_mouse"
"1820_Cell_Index119133",1218,3901,"mainly_mouse"
"1820_Cell_Index119172",641,2019,"mainly_mouse"
"1820_Cell_Index119268",608,1966,"mainly_mouse"
"1820_Cell_Index11929",789,2095,"mainly_mouse"
"1820_Cell_Index119302",796,2674,"mainly_mouse"
"1820_Cell_Index119337",668,1754,"mainly_mouse"
"1820_Cell_Index119401",821,2768,"mainly_mouse"
"1820_Cell_Index119604",0,947,"unique_mouse"
"1820_Cell_Index119633",947,2646,"mainly_mouse"
"1820_Cell_Index119697",892,2910,"mainly_mouse"
"1820_Cell_Index119801",0,1548,"unique_mouse"
"1820_Cell_Index119818",1665,0,"unique_human"
"1820_Cell_Index119865",828,2199,"mainly_mouse"
"1820_Cell_Index119916",1243,3567,"mainly_mouse"
"1820_Cell_Index12004",768,1982,"mainly_mouse"
"1820_Cell_Index120103",900,2525,"mainly_mouse"
"1820_Cell_Index120145",975,2953,"mainly_mouse"
"1820_Cell_Index120160",694,1985,"mainly_mouse"
"1820_Cell_Index12020",840,2549,"mainly_mouse"
"1820_Cell_Index120202",877,2655,"mainly_mouse"
"1820_Cell_Index120220",777,2786,"mainly_mouse"
"1820_Cell_Index120235",668,2132,"mainly_mouse"
"1820_Cell_Index120266",6383,15295,"mainly_mouse"
"1820_Cell_Index120270",680,1927,"mainly_mouse"
"1820_Cell_Index120430",1001,2895,"mainly_mouse"
"1820_Cell_Index120591",796,2571,"mainly_mouse"
"1820_Cell_Index120617",640,1689,"mainly_mouse"
