"Cell_Index","UMIs_human"
"1820_Cell_Index151564",593
"1820_Cell_Index15169",1200
"1820_Cell_Index151714",530
"1820_Cell_Index152122",4887
"1820_Cell_Index152126",739
"1820_Cell_Index15220",596
"1820_Cell_Index15270",884
"1820_Cell_Index152735",8183
"1820_Cell_Index152778",632
"1820_Cell_Index152780",1390
"1820_Cell_Index152833",7803
"1820_Cell_Index152896",639
"1820_Cell_Index152916",531
"1820_Cell_Index152971",975
"1820_Cell_Index153020",1032
"1820_Cell_Index153073",948
"1820_Cell_Index153168",929
"1820_Cell_Index153220",812
"1820_Cell_Index153261",1116
"1820_Cell_Index153345",870
"1820_Cell_Index15345",1017
"1820_Cell_Index153621",838
"1820_Cell_Index153679",5368
"1820_Cell_Index15368",778
"1820_Cell_Index153865",684
"1820_Cell_Index153929",716
"1820_Cell_Index154005",4001
"1820_Cell_Index154013",506
"1820_Cell_Index154076",966
"1820_Cell_Index154080",927
"1820_Cell_Index154241",1093
"1820_Cell_Index154248",648
"1820_Cell_Index154274",1021
"1820_Cell_Index154344",1047
"1820_Cell_Index154400",819
"1820_Cell_Index154427",674
"1820_Cell_Index154447",771
"1820_Cell_Index154472",768
"1820_Cell_Index154477",875
"1820_Cell_Index154491",668
"1820_Cell_Index154511",532
"1820_Cell_Index154562",637
"1820_Cell_Index154628",537
"1820_Cell_Index154637",872
"1820_Cell_Index154813",782
"1820_Cell_Index154944",1349
"1820_Cell_Index154947",4822
"1820_Cell_Index15499",1106
"1820_Cell_Index154994",598
"1820_Cell_Index155055",519
"1820_Cell_Index155082",3435
"1820_Cell_Index155247",765
"1820_Cell_Index155290",1337
"1820_Cell_Index155323",767
"1820_Cell_Index155527",786
"1820_Cell_Index155798",9174
"1820_Cell_Index155846",1228
"1820_Cell_Index155962",999
"1820_Cell_Index156038",662
"1820_Cell_Index156161",736
"1820_Cell_Index156395",745
"1820_Cell_Index15642",670
"1820_Cell_Index156464",666
"1820_Cell_Index156486",1606
"1820_Cell_Index156512",5240
"1820_Cell_Index15657",1259
"1820_Cell_Index156577",4768
"1820_Cell_Index156597",918
"1820_Cell_Index156780",676
"1820_Cell_Index156988",1117
"1820_Cell_Index157000",909
"1820_Cell_Index157099",705
"1820_Cell_Index157320",6907
"1820_Cell_Index157328",772
"1820_Cell_Index157451",634
"1820_Cell_Index157479",756
"1820_Cell_Index157518",708
"1820_Cell_Index157543",682
"1820_Cell_Index157608",909
"1820_Cell_Index15769",906
"1820_Cell_Index157768",1744
"1820_Cell_Index157866",884
"1820_Cell_Index157921",8985
"1820_Cell_Index157965",709
"1820_Cell_Index157966",590
"1820_Cell_Index157986",6082
"1820_Cell_Index158119",6436
"1820_Cell_Index158268",823
"1820_Cell_Index158279",504
"1820_Cell_Index158351",892
"1820_Cell_Index158484",789
"1820_Cell_Index159067",882
"1820_Cell_Index159086",1371
"1820_Cell_Index159170",892
"1820_Cell_Index159198",504
"1820_Cell_Index159286",1050
"1820_Cell_Index159312",742
"1820_Cell_Index15933",926
"1820_Cell_Index159415",668
"1820_Cell_Index15954",4656
"1820_Cell_Index159547",774
"1820_Cell_Index159598",517
"1820_Cell_Index159645",644
"1820_Cell_Index160019",922
"1820_Cell_Index160067",686
"1820_Cell_Index160089",563
"1820_Cell_Index160090",733
"1820_Cell_Index160123",982
"1820_Cell_Index160260",657
"1820_Cell_Index160298",924
"1820_Cell_Index160415",743
"1820_Cell_Index160421",650
"1820_Cell_Index160455",1007
"1820_Cell_Index16050",548
"1820_Cell_Index160542",622
"1820_Cell_Index160555",4314
"1820_Cell_Index160568",635
"1820_Cell_Index160630",919
"1820_Cell_Index160652",684
"1820_Cell_Index160699",887
"1820_Cell_Index160735",1410
"1820_Cell_Index160886",877
"1820_Cell_Index160917",937
"1820_Cell_Index16105",962
"1820_Cell_Index161104",583
"1820_Cell_Index161117",888
"1820_Cell_Index161169",584
"1820_Cell_Index161247",766
"1820_Cell_Index161266",12059
"1820_Cell_Index161312",939
"1820_Cell_Index161473",1016
"1820_Cell_Index16148",548
"1820_Cell_Index161683",961
"1820_Cell_Index161684",708
"1820_Cell_Index161750",1647
"1820_Cell_Index16191",977
"1820_Cell_Index162099",905
"1820_Cell_Index16222",634
"1820_Cell_Index162238",1485
"1820_Cell_Index162338",11345
"1820_Cell_Index162444",6113
"1820_Cell_Index162517",859
"1820_Cell_Index162549",1492
"1820_Cell_Index162619",673
"1820_Cell_Index162673",4967
"1820_Cell_Index162701",626
"1820_Cell_Index162745",606
"1820_Cell_Index162775",1085
"1820_Cell_Index162852",680
"1820_Cell_Index16292",671
"1820_Cell_Index162943",886
"1820_Cell_Index163073",536
"1820_Cell_Index163093",769
"1820_Cell_Index163143",699
"1820_Cell_Index163152",802
"1820_Cell_Index163171",3465
"1820_Cell_Index163311",863
"1820_Cell_Index163472",721
"1820_Cell_Index163481",755
"1820_Cell_Index163535",1274
"1820_Cell_Index163553",1237
"1820_Cell_Index163568",1071
"1820_Cell_Index163655",6069
"1820_Cell_Index163719",905
"1820_Cell_Index163721",9209
"1820_Cell_Index163895",661
"1820_Cell_Index164007",827
"1820_Cell_Index164101",781
"1820_Cell_Index164104",869
"1820_Cell_Index164196",1081
"1820_Cell_Index164200",967
"1820_Cell_Index164353",652
"1820_Cell_Index164374",1039
"1820_Cell_Index164431",656
"1820_Cell_Index164475",590
"1820_Cell_Index164635",2125
"1820_Cell_Index164675",743
"1820_Cell_Index1647",900
"1820_Cell_Index164805",651
"1820_Cell_Index164919",1001
"1820_Cell_Index164967",1168
"1820_Cell_Index16502",655
"1820_Cell_Index165031",810
"1820_Cell_Index165071",530
"1820_Cell_Index165086",2973
"1820_Cell_Index165115",967
"1820_Cell_Index16531",988
"1820_Cell_Index165321",1037
"1820_Cell_Index165433",38150
"1820_Cell_Index165480",783
"1820_Cell_Index165649",831
"1820_Cell_Index165718",7142
"1820_Cell_Index165739",727
"1820_Cell_Index165764",1148
"1820_Cell_Index165944",791
"1820_Cell_Index165958",1058
"1820_Cell_Index165962",838
"1820_Cell_Index166019",1145
"1820_Cell_Index166143",5587
"1820_Cell_Index166225",2064
"1820_Cell_Index166269",587
"1820_Cell_Index166688",8927
"1820_Cell_Index16673",702
"1820_Cell_Index167063",844
"1820_Cell_Index16708",967
"1820_Cell_Index167282",842
"1820_Cell_Index167299",919
"1820_Cell_Index167323",757
"1820_Cell_Index167328",738
"1820_Cell_Index167402",964
"1820_Cell_Index16743",1445
"1820_Cell_Index167443",972
"1820_Cell_Index16749",542
"1820_Cell_Index167524",793
"1820_Cell_Index167557",1016
"1820_Cell_Index167564",741
"1820_Cell_Index167717",1066
"1820_Cell_Index167892",972
"1820_Cell_Index167952",670
"1820_Cell_Index167987",619
"1820_Cell_Index168032",862
"1820_Cell_Index168049",724
"1820_Cell_Index168061",773
"1820_Cell_Index168140",2815
"1820_Cell_Index168146",4419
"1820_Cell_Index168147",784
"1820_Cell_Index168162",727
"1820_Cell_Index168263",4455
"1820_Cell_Index168274",792
"1820_Cell_Index168496",743
"1820_Cell_Index168507",1039
"1820_Cell_Index168553",834
"1820_Cell_Index168601",774
"1820_Cell_Index168682",947
"1820_Cell_Index168767",802
"1820_Cell_Index168856",981
"1820_Cell_Index168857",1188
"1820_Cell_Index168914",3668
"1820_Cell_Index168933",717
"1820_Cell_Index16909",532
"1820_Cell_Index169233",1380
