####################
## BD WTA Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2021-11-10 16:35:03
## Sample: 1820
## Reference: index_star_CHR.tar
####################
Gene,Status,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Seq_Depth,RSEC_Adjusted_Seq_Depth_without_Singletons
AC006122.1,pass,15399,3590,4.29,3344,4.6,8.69
AC006128.1,low_depth,11,6,1.83,6,1.83,2.67
AC006130.2,low_depth,5,5,1.0,5,1.0,0.0
AC006141.1,pass,101,14,7.21,14,7.21,10.67
AC006144.1,low_depth,10,6,1.67,6,1.67,3.0
AC006145.1,low_depth,1,1,1.0,1,1.0,0.0
AC006146.1,pass,15,7,2.14,7,2.14,5.0
AC006148.1,pass,16,6,2.67,6,2.67,11.0
AC006159.1,low_depth,1,1,1.0,1,1.0,0.0
AC006160.1,low_depth,4,3,1.33,3,1.33,2.0
AC006160.2,low_depth,1,1,1.0,1,1.0,0.0
AC006197.1,low_depth,2,2,1.0,2,1.0,0.0
AC006199.1,pass,9,1,9.0,1,9.0,9.0
AC006205.2,low_depth,1,1,1.0,1,1.0,0.0
AC006206.1,low_depth,15,13,1.15,13,1.15,2.0
AC006206.2,pass,72,13,5.54,12,6.0,9.57
AC006207.1,low_depth,1,1,1.0,1,1.0,0.0
AC006210.2,pass,655,203,3.23,190,3.45,6.05
AC006213.1,low_depth,4,3,1.33,3,1.33,2.0
AC006213.2,pass,11,5,2.2,5,2.2,7.0
AC006213.4,pass,15,4,3.75,4,3.75,6.5
AC006213.5,pass,16,2,8.0,2,8.0,15.0
AC006236.1,pass,16,6,2.67,5,3.2,6.5
AC006237.1,low_depth,1,1,1.0,1,1.0,0.0
AC006238.1,pass,26,4,6.5,2,13.0,13.0
AC006238.2,low_depth,3,3,1.0,3,1.0,0.0
AC006249.1,low_depth,1,1,1.0,1,1.0,0.0
AC006252.1,pass,37,6,6.17,4,9.25,12.0
AC006254.1,low_depth,7,7,1.0,7,1.0,0.0
AC006254.3,pass,63,10,6.3,10,6.3,14.25
AC006262.1,pass,102,29,3.52,27,3.78,7.25
AC006262.2,pass,12,4,3.0,4,3.0,9.0
AC006262.3,pass,18,7,2.57,6,3.0,5.0
AC006270.2,low_depth,2,2,1.0,2,1.0,0.0
AC006272.1,low_depth,1,1,1.0,1,1.0,0.0
AC006273.1,low_depth,2,2,1.0,2,1.0,0.0
AC006277.1,low_depth,2,2,1.0,2,1.0,0.0
AC006288.1,pass,6,2,3.0,2,3.0,5.0
AC006296.1,low_depth,1,1,1.0,1,1.0,0.0
AC006299.1,low_depth,3,3,1.0,3,1.0,0.0
AC006305.1,low_depth,5,5,1.0,5,1.0,0.0
AC006326.1,low_depth,43,43,1.0,43,1.0,0.0
AC006329.1,pass,95,18,5.28,16,5.94,8.18
AC006329.2,pass,12,2,6.0,2,6.0,6.0
AC006330.1,low_depth,8,4,2.0,4,2.0,3.0
AC006333.1,pass,1242,289,4.3,269,4.62,8.66
AC006333.2,pass,46,13,3.54,13,3.54,6.5
AC006335.2,low_depth,51,41,1.24,40,1.27,2.38
AC006349.1,pass,21,6,3.5,6,3.5,6.0
AC006355.1,low_depth,3,3,1.0,3,1.0,0.0
AC006357.1,low_depth,1,1,1.0,1,1.0,0.0
AC006362.1,low_depth,2,2,1.0,2,1.0,0.0
AC006369.1,low_depth,1,1,1.0,1,1.0,0.0
AC006369.2,low_depth,2,2,1.0,2,1.0,0.0
AC006372.2,low_depth,4,4,1.0,4,1.0,0.0
